publishedAt,authorDisplayName,textDisplay,likeCount
2024-07-11T13:58:09Z,@NopiGuruSD,"Masya Allah tabarakallah, semoga menular ke ank cucu kami❤",0
2024-07-11T13:57:32Z,@tatavita9049,"trending 1 masya allah,berarti densu harus lebih banyak ngundang anak anak muda yg seperti ini🙏",0
2024-07-11T13:57:11Z,@nurniamerry4301,"Berisi motivasi semua, keren dehhhh❤❤❤❤❤❤",0
2024-07-11T13:57:04Z,@sagitavanny2946,Suka sekaliii,0
2024-07-11T13:56:27Z,@litaaprilia6131,"Keliatan bgt kuis di akhir, sandy angkat tangan duluan ga dipilih biar asik acaranya wkwkwk",0
2024-07-11T13:56:22Z,@gusnaldimahendra5238,Mantap syakirah kata&quot; Sangat motivasi ❤banget,1
2024-07-11T13:55:27Z,@MuhammadAldo-lr2tb,seharusnya yang viral yang kayak gini bukan umur 2 bulan udah haji gak guna dia udah haji apa belum gak penting,1
2024-07-11T13:56:27Z,@MuhammadAldo-lr2tb,btw jangan sampai vedio ini ke emak gue autoh di bandingkan sama mereka,1
2024-07-11T13:54:45Z,@assifaarohaniyah8522,Positive vibe bgtttt,0
2024-07-11T13:54:37Z,@bundamarsya-ri3ez,Kek bapak uwe gabisa ngewarisin harta cmn bisa ngewarisin pendidikan,1
2024-07-11T13:54:36Z,@annaprabawa7615,Sebagai guru...paling asyik nih punya anak2 yang sepintar mereka.. Lebih mudah ngajarnya..😁😁.. Beban lepas separo...😉,2
2024-07-11T13:54:28Z,@ekawijayanti3296,keren bangetttt,0
2024-07-11T13:54:03Z,@183nabila9,sandy xaviera luck banger anjjjjjjj belayar dikapal ini,0
2024-07-11T13:53:29Z,@asrilusianasagala4179,"netizen yang ngehujat,kurang berpendidikan 😅<br>jadi di tonton aja biar gak belok (kata bang densu)",0
2024-07-11T13:53:06Z,@mamicerita3132,Intinya memang mereka orang cerdas otak nya emang pinter 😭😭😭beruntung sekali kalian,0
2024-07-11T13:53:00Z,@Happy_jdhrj,Fix gw sarapan haris pake ikan lele🔥🔥,0
2024-07-11T13:52:59Z,@sFieraN,Shakira positive vibes bgt masyaallah🥺❤️,0
2024-07-11T13:52:55Z,@ihsanamin4258,Thoriq haji 2 bulan👆🏻,0
2024-07-11T13:52:49Z,@alvionafendiriani6027,&quot;hah gitu doang&quot; kata sandy pas soal 2/3 x 6 wkwkwkwk ga ekspek jugaaa soalnya gitu doang ya san wkwk,0
2024-07-11T13:52:32Z,@cutmalekaaizavoenza5135,"Kak shakira positive vibes bgtt,dan bener bener menerapkan jalur langitt",0
2024-07-11T13:52:00Z,@dewisrirahayu9985,Trending 1 dong🎉🎉🎉 allohumasoliala sayyidina Muhammad ❤❤❤ terharu akutuuuu😢😂,0
2024-07-11T13:51:38Z,@mutiarakasih6689,Kaliannn keren bangettt 😭🤍,0
2024-07-11T13:51:37Z,@nurrohmah6480,"Wawasannya luas... Nggak cuma tentang akademik tapi pengetahuan umum, attitude, tentang hidup dan kehidupan, filosofi... Ah udahlah. Cuma bisa kagum dan kagum",0
2024-07-11T13:51:16Z,@Ryan07755,Ngakakkk pas di kasih tau kata kunci toriq haji 😂😂😂😂,0
2024-07-11T13:56:56Z,@Ryan07755,Salah kodham lo 😂😂😂,0
2024-07-11T13:50:24Z,@guramebakar6546,support anak bangsa,0
2024-07-11T13:49:33Z,@tyaoke2700,"Denger omongan xaviera tuh bener2 bermotivasi banget,",0
2024-07-11T13:49:30Z,@sitikori1849,Semua pandai  - pandai dan hebat keberuntungan  berpihak pada syavira ❤❤❤,0
2024-07-11T13:49:29Z,@vyztion,pinter2 banget,0
2024-07-11T13:49:27Z,@barbieland4718,obrolannya seru bgtt.. apalagi bagian quis berasa kurang bgtt durasinyaa 😂❤,0
2024-07-11T13:49:24Z,@martinihardianti8679,Gak sabar nunggu eps 5 sumpah seru bgt acaranya @ruangguru bikin acaranya setiap tahun donk,0
2024-07-11T13:49:19Z,@inizahra9818,Klo mentri pendidikan Indonesia begini sihhhh beneran ada harapan Indonesia emasssss 🎉 bukan Indonesia cemas 😂😂,0
